#lon lat ve vn vu se sn su name
159.06120 -31.51988 0.41461 -0.03985 -0.70302 0.16431 0.12695 0.38956 lord
169.73677 -43.64298 -12.66610 -3.16733 0.24798 0.25907 0.43116 0.54088 leoc
159.07852 -31.54146 -0.07169 0.60468 -0.94234 0.19083 0.23513 0.45410 ldhi
177.44658 -17.60881 -6.66230 -5.64033 -1.22691 0.36456 0.29059 0.69721 laut
188.00047 -13.83221 -86.81617 4.68820 -2.02137 0.43425 0.46510 0.58699 fale
250.65560 -27.12498 56.54727 27.60604 -0.46270 0.31810 0.46423 0.36914 ispa
250.61671 -27.14821 57.90264 27.74435 -0.76748 0.43418 0.69264 0.27417 eisl
175.58970 -39.11514 1.56266 -2.31413 -2.69586 0.14058 0.24083 0.60872 vgwt
176.36592 -38.09366 1.15973 -2.93314 -0.38661 0.13487 0.12442 1.88040 rghd
175.45174 -39.73010 -2.70991 -2.62179 0.01952 0.27164 0.30589 0.58940 whvr
178.12913 -38.64379 -2.41904 -20.27919 -0.66313 0.79111 0.37251 0.66454 mako
169.16980 -45.08040 -29.36777 -11.78556 NaN 0.71513 0.55153 NaN e2k4
169.42533 -45.67637 -28.65980 -12.79873 NaN 0.62137 0.68440 NaN dqyq
169.35455 -44.93327 -28.26559 -12.32032 NaN 0.76040 0.67765 NaN dqyp
169.61548 -45.10690 -28.53183 -11.98154 NaN 0.61862 0.81179 NaN dqyn
169.62900 -45.26284 -28.52171 -12.55379 NaN 0.76465 0.76848 NaN dqym
169.97852 -45.04760 -28.81591 -12.48014 NaN 0.76808 0.74286 NaN dqyl
169.80312 -45.47854 -28.28576 -13.06711 NaN 0.70297 0.70337 NaN dqyk
170.06689 -45.28491 -28.69884 -12.44288 NaN 0.82290 0.83115 NaN dqyj
170.21600 -45.38304 -28.82948 -12.75157 NaN 0.86656 0.95873 NaN dqyh
170.32169 -45.46702 -29.78414 -13.23574 NaN 0.63790 1.04218 NaN dqyg
170.51726 -45.37091 -29.31534 -12.22402 NaN 0.55989 0.93715 NaN dqyf
169.20610 -44.28609 -22.18097 -9.80851 NaN 0.44364 0.50706 NaN dpx3
169.30232 -44.74860 -26.68118 -11.49393 NaN 0.37747 0.61520 NaN dme5
169.90345 -44.93835 -28.41124 -11.85447 NaN 0.50455 0.44997 NaN dme3
170.12325 -45.56568 -28.18913 -11.84969 NaN 0.62281 0.58807 NaN dme1
